/* DATA DESCRIPTION:
Citation:	Ikeda, Tsutomu; Sano, Fumikazu; Yamaguchi, Atsushi (2014): Respiration rate of pelagic copepods determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.833824
Related to:	Ikeda, Tsutomu; Sano, Fumikazu; Yamaguchi, Atsushi (2007): Respiration in marine pelagic copepods: a global-bathymetric model. Marine Ecology Progress Series, 339, 215-219, https://doi.org/10.3354/meps339215
Event(s):	Copepods-global_RESEXP * METHOD/DEVICE: Experiment (EXP) * COMMENT: respiration rate experiment using cultures from different sources
Parameter(s):	Species (Species) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Uniform resource locator/link to reference (URL ref) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Stage (Stage) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	DEPTH, water [m] (Depth water) * GEOCODE
	Treatment: temperature [°C] (Treat temp) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Respiration rate, oxygen, per individual [µl/#/h] (Resp O2/ind) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Body mass, dry [mg] (BM dry) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Nitrogen mass [mg] (N) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Carbon mass [mg] (C) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Reference of data (Ref data) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1777 data points
*/
Species	URL ref	Stage	Depth water [m]	Treat temp [°C]	Resp O2/ind [µl/#/h]	BM dry [mg]	N [mg]	C [mg]	Ref data
Scottocalanus securifrons	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104833	C6F	1500	2.0	0.537	1.452	0.163	0.7	Ikeda et al. (2006)
Scottocalanus securifrons	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104833	C6F	2500	1.5	1.162	5.640	0.486	3.1	Ikeda et al. (2006)
Spinocalanus magnus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104853	C6F	2500	1.5	0.232	0.868	0.061	0.5	Ikeda et al. (2006)
Spinocalanus stellatus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=355771	C6F	750	3.0	0.503	0.818	0.059	0.4	Ikeda et al. (2006)
Undeuchaeta major	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104342	C5F	2500	1.5	0.082	0.445	0.045	0.2	Ikeda et al. (2006)
Undeuchaeta major	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104342	C6F	1500	2.0	0.834	3.350	0.271	1.7	Ikeda et al. (2006)
Undeuchaeta major	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104342	C6F	1500	2.0	0.706	2.477	0.258	1.2	Ikeda et al. (2006)
Undeuchaeta plumosa	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104343	C6F	750	3.0	1.273	3.332	0.322	1.7	Ikeda et al. (2006)
Undeuchaeta plumosa	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104343	C6F	1500	2.0	1.128	2.820	0.275	1.4	Ikeda et al. (2006)
Xanthocalanus kurilensis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=356387	C6F	2500	1.5	0.109	1.041	0.094	0.6	Ikeda et al. (2006)
Acartia australis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346050		2	25.0	0.055	0.009	0.001	0.0	Ikeda et al. (2001)
Acartia clausi	https://www.marinespecies.org/aphia.php?p=taxdetails&id=149755		2	14.8	0.030	0.009	0.001	0.0	Ikeda et al. (2001)
Acartia longiremis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346037		2	9.6	0.028	0.008	0.001	0.0	Ikeda et al. (2001)
Acartia pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346059		2	26.0	0.046	0.008	0.001	0.0	Ikeda et al. (2001)
Acartia tonsa	https://www.marinespecies.org/aphia.php?p=taxdetails&id=345943		2	22.0	0.056	0.007	0.001	0.0	Ikeda et al. (2001)
Calanoides acutus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=342434	C4.5	2	-0.6	0.163	0.266	0.021	0.1	Ikeda et al. (2001)
Calanoides acutus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=342434	C5	2	-0.2	0.211	0.394	0.034	0.2	Ikeda et al. (2001)
Calanopia elliptica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104724		2	26.0	0.280	0.056	0.005	0.0	Ikeda et al. (2001)
Calanus finmarchicus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104464	C6F	2	0.1	0.328	0.387	0.029	0.2	Ikeda et al. (2001)
Calanus glacialis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104465	C6F	21	1.9	0.616	0.474	0.050	0.2	Ikeda et al. (2001)
Calanus hyperboreus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104467	C5	50	-0.3	1.054	2.677	0.180	1.6	Ikeda et al. (2001)
Calanus hyperboreus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104467	C5	50	0.9	1.028	1.943	0.144	1.1	Ikeda et al. (2001)
Calanus hyperboreus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104467	C6F	50	1.3	1.485	3.950	0.282	2.3	Ikeda et al. (2001)
Calanus propinquus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=342435		2	-1.0	1.179	1.042	0.130	0.5	Ikeda et al. (2001)
Centropages abdominalis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196774		2	15.9	0.086	0.017	0.002	0.0	Ikeda et al. (2001)
Centropages brachiatus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104490		2	17.3	0.115	0.020	0.002	0.0	Ikeda et al. (2001)
Eucalanus attenuatus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=149719		2	27.4	0.905	0.137	0.013	0.1	Ikeda et al. (2001)
Eucalanus bungii	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196775		2	6.0	0.795	1.010	0.099	0.4	Ikeda et al. (2001)
Eucalanus subcrassus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=211835		2	24.0	0.655	0.104	0.010	0.0	Ikeda et al. (2001)
Euchaeta marina	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104552		2	24.0	1.337	0.290	0.028	0.1	Ikeda et al. (2001)
Labidocera acuta	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104726		2	24.0	1.890	0.233	0.022	0.1	Ikeda et al. (2001)
Labidocera acuta	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104726		2	28.5	2.070	0.232	0.028	0.1	Ikeda et al. (2001)
Labidocera nerii	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104733		2	26.4	1.515	0.221	0.027	0.1	Ikeda et al. (2001)
Mesocalanus tenuicornis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104468		2	15.8	0.220	0.031	0.004	0.0	Ikeda et al. (2001)
Metridia gerlachei	https://www.marinespecies.org/aphia.php?p=taxdetails&id=344689		2	-1.4	0.320	0.265	0.030	0.1	Ikeda et al. (2001)
Metridia longa	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104632	C6F	50	0.1	0.406	0.353	0.037	0.2	Ikeda et al. (2001)
Metridia pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196784		2	8.2	0.382	0.148	0.016	0.1	Ikeda et al. (2001)
Metridia pacifica	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196784		2	13.0	0.274	0.094	0.011	0.0	Ikeda et al. (2001)
Nannocalanus minor	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104469		2	26.9	0.210	0.040	0.004	0.0	Ikeda et al. (2001)
Neocalanus cristatus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104470	C5	2	6.3	1.670	1.587	0.133	0.8	Ikeda et al. (2001)
Neocalanus gracilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104471		2	19.7	1.640	0.500	0.051	0.2	Ikeda et al. (2001)
Neocalanus plumchrus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196772	C4	2	5.6	0.280	0.263	0.021	0.1	Ikeda et al. (2001)
Neocalanus plumchrus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196772	C5	2	7.3	0.680	0.785	0.063	0.5	Ikeda et al. (2001)
Neocalanus plumchrus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=196772		2	15.1	0.555	0.294	0.026	0.1	Ikeda et al. (2001)
Paracalanus parvus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104685		2	13.9	0.031	0.004	0.000	0.0	Ikeda et al. (2001)
Pontella danae	https://www.marinespecies.org/aphia.php?p=taxdetails&id=354855		2	26.4	3.430	0.700	0.084	0.3	Ikeda et al. (2001)
Pseudocalanus elongatus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104515		2	8.6	0.040	0.012	0.001	0.0	Ikeda et al. (2001)
Pseudodiaptomus marinus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=360352		2	14.3	0.056	0.014	0.002	0.0	Ikeda et al. (2001)
Rhincalanus gigas	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220837		50	-1.7	0.437	1.080	0.106	0.5	Ikeda et al. (2001)
Tortanus discaudatus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=720592		2	7.0	0.120	0.057	0.006	0.0	Ikeda et al. (2001)
Tortanus gracilis	https://www.marinespecies.org/aphia.php?p=taxdetails&id=720560		2	26.0	0.143	0.024	0.002	0.0	Ikeda et al. (2001)
Undinula vulgaris	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104473		2	23.5	0.966	0.185	0.018	0.1	Ikeda et al. (2001)
Undinula vulgaris	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104473		2	27.6	1.399	0.167	0.018	0.1	Ikeda et al. (2001)
Neocalanus cristatus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104470	C5	25	5.0	1.000	1.720	0.165	0.7	Ikeda et al. (2004)
